deckname1;deckname2;forgeborn;L2;L3;L4;factions;numlbl;#>~1stats;#>~2stats;#>~3stats;Creatures;Spells;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;EXALT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;SELFDAMAGE;DESTRUCTION;DEPLOY;READY;FORGEBORN;BATTLE;SLAY;FACE DMG
The Company of Botany;The Band of the Steelskin North;Oros;2Barkskin;3Darkforge Drain;4Shapeshift;Uterra|Alloyin;36;1/3;2/5;3/5;13;7;0;0;0;0;0;0;4;0;4;0;0;0;4;7;8;0;0;0;1;0;0;0;0;0;0;0;1;5;0;-3;0;0;0;0;1;0
The Monks of the Great Quitting Fire;The Band of the Steelskin North;Sunder;2Gathering Storm;3Summon the Swarm;4Ice Armor;Tempys|Alloyin;26;3/6;3/4;4/4;15;5;0;0;4;0;0;0;4;0;2;0;0;0;4;5;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;-2;0;0;0;0;-1;0
The Band of the Steelskin North;The Monks of the Great Quitting Fire;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Tempys;20;3/6;3/4;4/4;15;5;0;0;4;0;0;0;4;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;-2;0;0;0;0;-1;0
The Band of the Steelskin North;The Mice of the Fierce Fur;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Uterra;23;1/4;1/5;2/5;12;8;0;0;0;0;0;0;5;0;2;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;1;3;-1;-3;0;0;0;0;-1;0
The Band of the Steelskin North;The Senseis who became Champs;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Tempys;41;4/5;4/5;4/3;13;7;0;0;3;0;0;0;3;0;0;0;0;0;4;21;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2;-2;0;0;0;0;1;0
The Mice of the Fierce Fur;The Band of the Steelskin North;Oros;2Darkforge Drain;3Growth Aura;4Shapeshift;Uterra|Alloyin;32;1/4;1/5;2/5;12;8;0;0;0;0;0;0;5;0;2;0;0;0;4;8;6;0;0;0;0;0;0;0;0;0;0;0;1;3;-1;-3;0;0;0;0;-1;0
The Senseis who became Champs;The Band of the Steelskin North;Korok;2Demolish;3Lightning Speed;4Whirlwind;Tempys|Alloyin;41;4/5;4/5;4/3;13;7;0;0;3;0;0;0;3;0;0;0;0;0;4;21;0;0;0;0;0;0;0;0;0;0;0;3;0;3;2;-2;0;0;0;0;1;0
The Band of the Steelskin North;The Crossing Soul Hags;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Nekrium;34;1/2;2/3;2/1;13;7;0;0;0;0;0;3;4;1;0;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;3;3;9;0;0;0;0;-1;0
The Crossing Soul Hags;The Band of the Steelskin North;Cercee;2Deathtouch;3Army Commander;4Life Drain;Nekrium|Alloyin;36;1/2;2/3;2/1;13;7;0;0;0;0;0;3;4;1;0;0;0;0;4;0;0;0;0;0;0;0;0;8;0;0;0;0;0;3;3;9;0;0;0;0;-1;0
The Band of the Steelskin North;The Group of Brass Conspiracies;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Nekrium;33;1/2;2/3;2/3;12;8;0;0;0;0;0;1;4;3;0;0;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;3;-3;12;0;0;0;0;-1;0
The Group of Brass Conspiracies;The Band of the Steelskin North;Nix Nekyia;2Raising Dead;3Army of the Damned;4Soulrip;Nekrium|Alloyin;48;1/2;2/3;2/3;12;8;0;0;0;0;0;1;4;5;4;0;0;0;4;0;2;0;0;0;0;2;6;0;0;0;0;0;0;3;-3;15;0;0;0;0;-1;0
The Fleeing Feasting Brother Flock;The Band of the Steelskin North;Nova;2Nova's Dominion;3Nova's Wrath;4Nova's Might;Uterra|Alloyin;50;1/6;1/5;2/6;13;7;0;0;0;0;0;0;10;0;7;0;0;0;4;7;9;0;0;0;0;0;0;0;0;7;0;0;0;4;0;-2;0;0;0;0;1;0
The Band of the Steelskin North;The Fleeing Feasting Brother Flock;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Uterra;45;1/6;1/5;2/6;13;7;0;0;0;0;0;0;10;0;2;0;0;0;4;7;9;0;0;0;0;0;0;0;0;7;0;0;0;4;0;-2;0;0;0;0;1;0
The Band of the Steelskin North;Outfit of Camping and Waving;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Uterra;26;2/4;1/4;2/5;12;8;0;0;0;0;0;0;8;0;0;0;0;0;4;0;0;0;0;3;1;0;0;0;0;0;0;0;0;4;-1;-2;0;0;3;0;-1;0
The Band of the Steelskin North;The Imps of Descending Chiron;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Nekrium;33;3/4;2/4;3/6;15;5;0;0;0;0;0;0;3;1;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;-4;12;0;0;0;0;-1;4
The Stone Hillbilly Stomachs;The Corps of the Prismatic Riddle;Oros;2Shapeshift;3Spell Surge;4Spirit Bond;Uterra|Tempys;41;4/5;4/6;6/4;14;6;0;8;2;0;0;0;4;0;0;0;2;0;0;12;0;0;0;0;1;0;0;0;0;6;0;0;0;0;4;-1;0;0;0;0;1;0
The Squadron of the Fire;The Band of the Steelskin North;Sunder;2Gathering Storm;3Stim Bolt;4Summon the Swarm;Tempys|Alloyin;57;2/7;2/8;4/7;14;6;0;0;2;0;0;0;4;0;0;0;0;0;4;12;0;0;0;3;0;0;0;0;8;6;0;0;0;3;12;2;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Stone Hillbilly Stomachs;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;48;4/5;4/6;6/4;14;6;0;8;2;0;0;0;4;0;0;0;3;0;0;12;0;0;0;0;1;0;0;0;0;12;0;0;0;0;4;-1;0;0;0;0;1;0
The Band of the Steelskin North;The Squadron of the Fire;Crux Cobalt;2Mind Over Matter;3Shattered Psyche;4Precognition;Alloyin|Tempys;39;2/7;2/8;4/7;14;6;0;0;2;0;0;0;4;0;0;0;0;0;4;0;0;0;0;3;0;0;0;0;8;0;0;0;0;3;12;2;0;0;0;0;-1;0
Outfit of Camping and Waving;The Band of the Steelskin North;Oros;2Growth Aura;3Barkskin;4Darkforge Drain;Uterra|Alloyin;34;2/4;1/4;2/5;12;8;0;0;0;0;0;0;8;0;0;0;0;0;4;8;0;0;0;3;1;0;0;0;0;0;0;0;0;4;-1;-2;0;0;3;0;-1;0
The Imps of Descending Chiron;The Band of the Steelskin North;Cercee;2Life Drain;3Soul Syphon;4Deathtouch;Nekrium|Alloyin;37;3/4;2/4;3/6;15;5;0;0;0;0;0;0;3;1;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;3;-4;16;0;0;0;0;-1;4
Silence's Dying Guard;The Corps of the Prismatic Riddle;Cercee;2Shadowcast;3Sorrow;4Army Commander;Nekrium|Tempys;53;1/5;2/5;4/6;14;6;0;0;1;0;0;0;0;2;3;0;2;0;2;6;0;0;0;0;3;0;0;1;0;6;0;0;0;0;10;16;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;Silence's Dying Guard;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;65;1/5;2/5;4/6;14;6;0;0;1;0;0;0;0;2;4;0;3;0;2;12;0;0;0;0;1;0;0;-1;0;12;0;0;0;0;10;16;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Brilliant Buying Duchesses;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;55;2/5;3/3;3/3;12;8;0;0;2;4;1;0;0;0;0;0;3;0;2;16;0;0;0;0;0;0;0;1;0;16;0;0;0;3;4;2;0;0;0;0;-1;0
The Brilliant Buying Duchesses;The Corps of the Prismatic Riddle;Steel Rosetta;2Enhance;3Gale Surge;4Nanotech Disruptor;Alloyin|Tempys;43;2/5;3/3;3/3;12;8;0;0;2;5;1;0;0;0;0;0;2;0;2;8;0;0;0;0;0;0;0;2;0;8;0;0;0;6;4;2;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Bulls of Wiping Tremorsaurs;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;36;3/6;4/6;5/7;14;6;0;0;2;0;0;2;0;0;0;0;3;0;0;12;0;0;0;0;1;0;0;0;0;12;0;0;0;0;2;-2;0;0;0;0;-2;0
The Bulls of Wiping Tremorsaurs;The Corps of the Prismatic Riddle;Nova;2Bounty;3Nova's Dominion;4Nova's Might;Uterra|Tempys;25;3/6;4/6;5/7;14;6;0;0;2;0;0;3;0;0;1;0;2;0;0;6;0;0;0;0;1;0;0;0;0;6;0;0;0;0;2;-2;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;The Lucid Shocking Daughters;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;62;2/5;4/5;4/5;13;7;0;2;3;0;3;0;0;0;0;1;3;0;2;14;0;0;8;3;0;0;0;1;0;14;0;0;1;3;2;-1;0;0;0;0;-2;0
The Bunch of Alluvian and Staying;The Corps of the Prismatic Riddle;Nix Nekyia;2Soulrip;3Dark Summoning;4Endless Death;Nekrium|Tempys;69;1/6;2/6;3/6;13;7;0;0;2;0;0;0;0;7;3;0;2;0;2;14;0;0;0;0;1;0;6;1;0;7;0;0;0;0;8;11;0;0;0;0;-1;4
The Corps of the Prismatic Riddle;The Bunch of Alluvian and Staying;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;74;1/6;2/6;3/6;13;7;0;0;2;0;0;0;0;7;4;0;3;0;2;21;0;0;0;0;1;0;0;1;0;14;0;0;0;0;8;6;0;0;0;0;-1;4
The Vikings of Marking Warclaws;The Corps of the Prismatic Riddle;Oros;2Shapeshift;3Darkforge Drain;4Spirit Bond;Uterra|Tempys;52;2/4;3/4;3/6;12;8;0;0;2;0;0;0;0;0;3;0;3;3;0;27;0;0;0;0;0;0;0;0;0;9;0;0;-1;0;2;-2;0;0;0;0;1;0
The Lucid Shocking Daughters;The Corps of the Prismatic Riddle;Ironbeard;2Intimidate;3Shields Up;4Promote;Alloyin|Tempys;52;2/5;4/5;4/5;13;7;0;2;3;0;3;0;0;0;0;1;2;0;2;7;0;0;12;3;0;0;0;1;0;7;0;0;1;3;2;-1;0;0;0;0;2;0
The Corps of the Prismatic Riddle;The Torturers of Yellow Petrification;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;88;1/2;2/2;3/3;13;7;3;0;2;0;2;0;0;0;0;0;3;0;0;14;0;0;0;0;0;0;0;2;0;14;0;0;0;0;10;20;8;8;0;-1;-1;0
The Corps of the Prismatic Riddle;The Vikings of Marking Warclaws;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;63;2/4;3/4;3/6;12;8;0;0;2;0;0;0;0;0;4;0;4;3;0;27;0;0;0;0;0;0;0;0;0;18;0;0;-1;0;2;-2;0;0;0;0;1;0
The Vigilantes of Cleric and Seed;The Corps of the Prismatic Riddle;Oros;2Darkforge Drain;3Shapeshift;4Spell Surge;Uterra|Tempys;43;2/5;3/5;5/7;13;7;0;3;2;0;0;0;0;0;0;0;2;2;0;21;1;0;0;0;0;0;0;0;0;7;0;0;0;1;2;-2;0;0;0;0;1;0
The Corps of the Prismatic Riddle;The Vigilantes of Cleric and Seed;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;44;2/5;3/5;5/7;13;7;0;3;2;0;0;0;0;0;0;0;3;2;0;14;1;0;0;0;0;0;0;0;0;14;0;0;0;1;2;-2;0;0;0;0;1;0
The Torturers of Yellow Petrification;The Corps of the Prismatic Riddle;Cercee;2Shadowcast;3Army Commander;4Soul Syphon;Nekrium|Tempys;79;1/2;2/2;3/3;13;7;3;0;2;0;2;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;4;0;7;0;0;0;0;10;24;8;8;0;-1;-1;0
The Corps of the Prismatic Riddle;The Belonging Drix Innumerable;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;57;1/5;2/6;2/5;11;9;0;0;2;0;0;0;2;0;0;0;3;0;0;18;0;0;3;0;0;0;0;1;0;18;0;0;0;6;2;-2;0;0;0;0;-1;0
The Belonging Drix Innumerable;The Corps of the Prismatic Riddle;Ironbeard;2Shields Up;3Intimidate;4Promote;Alloyin|Tempys;40;1/5;2/6;2/5;11;9;0;0;2;0;0;0;2;0;0;0;2;0;0;9;0;0;5;0;0;0;0;1;0;9;0;0;0;6;2;-2;0;0;0;0;1;0
Innumerable of Crawler and West;The Corps of the Prismatic Riddle;Cercee;2Sorrow;3Shadowcast;4Soul Syphon;Nekrium|Tempys;54;1/3;2/3;2/4;12;8;0;0;2;0;0;0;0;4;4;0;2;0;0;8;0;2;0;0;0;0;0;4;0;8;0;0;0;0;6;6;4;2;0;-1;-1;0
The Corps of the Prismatic Riddle;Regiment of Sprite and Warclaw;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;45;2/6;4/6;5/7;13;7;0;6;2;0;0;0;0;0;0;0;3;0;0;14;0;0;0;0;1;0;0;0;0;14;0;0;0;1;2;-3;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;The Arid Monkey Wolves;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;64;1/4;3/4;4/5;12;8;0;10;1;0;0;3;0;0;0;0;4;0;0;24;0;0;0;0;0;0;0;0;0;16;0;0;0;2;2;-1;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;Force's Adding Defenders;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;59;1/3;2/3;3/3;14;6;0;0;1;7;0;0;4;0;0;0;3;0;0;12;0;0;0;0;0;0;0;0;0;12;0;0;0;16;2;-2;0;0;0;0;-2;0
Regiment of Sprite and Warclaw;The Corps of the Prismatic Riddle;Oros;2Darkforge Drain;3Shapeshift;4Spirit Bond;Uterra|Tempys;37;2/6;4/6;5/7;13;7;0;6;2;0;0;0;0;0;0;0;2;0;0;14;0;0;0;0;1;0;0;0;0;7;0;0;0;1;2;-3;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;Innumerable of Crawler and West;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;70;1/3;2/3;2/4;12;8;0;0;2;0;0;0;0;4;5;0;3;0;0;16;0;2;0;0;0;0;0;4;0;16;0;0;0;0;6;4;4;2;0;-1;-1;0
The Arid Monkey Wolves;The Corps of the Prismatic Riddle;Nova;2Nova's Might;3Bounty;4Nova's Dominion;Uterra|Tempys;50;1/4;3/4;4/5;12;8;0;10;1;0;0;4;0;0;2;0;3;0;0;16;0;0;0;0;0;0;0;0;0;8;0;0;0;2;2;-1;0;0;0;0;-2;0
Force's Adding Defenders;The Corps of the Prismatic Riddle;Ironbeard;2Shields Up;3Formation;4Intimidate;Alloyin|Tempys;46;1/3;2/3;3/3;14;6;0;0;1;7;0;0;4;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;6;0;0;0;16;2;-2;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;The Common Wrench Swarm;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;58;1/3;2/3;3/4;13;7;0;0;1;14;0;0;0;0;0;0;3;0;0;14;0;0;0;0;0;0;0;2;0;14;0;0;0;4;4;1;0;0;0;0;-1;0
The Common Wrench Swarm;The Corps of the Prismatic Riddle;Ironbeard;2Shields Up;3Intimidate;4Promote;Alloyin|Tempys;43;1/3;2/3;3/4;13;7;0;0;1;14;0;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;2;0;7;0;0;0;4;4;1;0;0;0;0;1;0
The Corps of the Prismatic Riddle;The Upstaging Eternity Worms;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;96;2/2;3/2;4/2;13;7;3;0;2;0;2;0;0;0;0;0;3;0;0;28;0;0;0;0;0;0;0;0;0;28;0;0;0;0;9;12;5;3;0;0;-3;0
The Upstaging Eternity Worms;The Corps of the Prismatic Riddle;Nix Nekyia;2Soulrip;3Endless Death;4Dark Ritual;Nekrium|Tempys;97;2/2;3/2;4/2;13;7;3;0;2;0;2;0;0;0;0;0;2;0;0;21;0;0;0;0;0;0;6;0;0;21;0;0;0;0;9;22;5;3;0;0;-3;0
The Companions of the Void;The Corps of the Prismatic Riddle;Cercee;2Soul Syphon;3Army Commander;4Sorrow;Nekrium|Tempys;51;1/2;2/4;4/5;13;7;0;0;2;0;0;0;0;7;3;0;2;0;0;7;0;0;0;0;0;0;0;2;0;7;0;0;0;0;6;4;5;2;0;0;-1;3
The Vigilantes of the Titanic Druid;The Corps of the Prismatic Riddle;Oros;2Darkforge Drain;3Spell Surge;4Shapeshift;Uterra|Tempys;59;1/5;3/5;5/7;12;8;0;0;2;0;0;4;0;0;0;0;3;0;0;32;2;0;0;0;0;0;0;0;0;8;0;0;0;4;2;-1;0;0;0;0;-2;0
The Armoring Studious Power Cult;The Corps of the Prismatic Riddle;Ironbeard;2Shields Up;3Promote;4Formation;Alloyin|Tempys;42;1/4;2/4;3/3;13;7;0;0;2;4;0;0;5;0;0;0;2;0;0;7;0;0;0;0;0;0;0;1;0;7;0;0;0;2;2;-3;5;2;0;0;2;0
The Corps of the Prismatic Riddle;The Armoring Studious Power Cult;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;56;1/4;2/4;3/3;13;7;0;0;2;4;0;0;5;0;0;0;3;0;0;14;0;0;0;0;0;0;0;1;0;14;0;0;0;2;2;-3;5;2;0;0;-2;0
The Corps of the Prismatic Riddle;The Vigilantes of the Titanic Druid;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;60;1/5;3/5;5/7;12;8;0;0;2;0;0;4;0;0;0;0;4;0;0;24;2;0;0;0;0;0;0;0;0;16;0;0;0;4;2;-1;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;Vice's Quoting Custodians;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;77;3/4;4/5;4/6;13;7;0;0;1;0;0;0;0;2;3;0;4;0;2;28;0;1;0;0;0;0;0;1;0;21;0;0;0;0;9;4;0;0;0;0;-2;0
Vice's Quoting Custodians;The Corps of the Prismatic Riddle;Cercee;2Army Commander;3Shadowcast;4Sorrow;Nekrium|Tempys;62;3/4;4/5;4/6;13;7;0;0;1;0;0;0;0;2;2;0;3;0;2;21;0;1;0;0;0;0;0;2;0;14;0;0;0;0;9;4;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;The Brigade of Relic and Aetherscale;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;49;1/4;2/4;4/5;14;6;0;0;3;0;1;0;3;0;0;0;3;0;2;12;0;2;0;0;0;0;0;1;0;12;0;0;0;3;4;2;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Companions of the Void;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;64;1/2;2/4;4/5;13;7;0;0;2;0;0;0;0;7;4;0;3;0;0;14;0;0;0;0;0;0;0;1;0;14;0;0;0;0;6;2;5;2;0;0;-1;3
The Brigade of Relic and Aetherscale;The Corps of the Prismatic Riddle;Steel Rosetta;2Enhance;3Nanotech Disruptor;4Optimize;Alloyin|Tempys;41;1/4;2/4;4/5;14;6;0;0;3;0;1;0;3;0;0;0;2;0;2;6;0;2;0;0;0;0;0;2;0;6;0;0;0;7;4;2;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Chieftains of Dripping Loti;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;51;2/2;3/3;3/3;12;8;0;3;2;0;0;0;3;0;3;0;3;0;0;16;1;0;0;0;0;0;0;0;0;16;0;0;0;0;2;-2;0;0;0;0;-1;0
The Chieftains of Dripping Loti;The Corps of the Prismatic Riddle;Nova;2Nova's Judgement;3Nova's Dominion;4Bounty;Uterra|Tempys;35;2/2;3/3;3/3;12;8;0;3;2;0;0;0;3;0;3;0;2;0;0;8;2;0;0;0;0;0;0;0;0;8;0;0;0;0;2;-2;0;0;0;0;-1;0
The Murderous Totem Empresses;The Corps of the Prismatic Riddle;Nix Nekyia;2Endless Death;3Dark Ritual;4Dark Summoning;Nekrium|Tempys;56;2/3;4/4;4/6;13;7;0;0;3;0;0;0;0;2;0;0;2;0;0;7;0;0;0;0;0;0;0;2;0;7;0;0;0;0;4;5;14;6;0;-1;-1;2
The Corps of the Prismatic Riddle;The Murderous Totem Empresses;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;68;2/3;4/4;4/6;13;7;0;0;3;0;0;0;0;2;0;0;3;0;0;14;0;0;0;0;0;0;0;2;0;14;0;0;0;0;4;2;14;6;0;-1;-1;2
The Glorious Stressing Scouts;The Corps of the Prismatic Riddle;Crux Cobalt;2Precognition;3Mind Over Matter;4Synaptic Siphon;Alloyin|Tempys;45;1/3;2/3;2/3;12;8;0;0;1;0;0;0;4;0;0;0;2;0;0;8;0;0;9;0;0;0;0;0;0;8;0;0;0;9;2;-2;0;0;0;0;-2;0
The Angry Wedding Bizarre Archers;The Corps of the Prismatic Riddle;Oros;2Spell Surge;3Spirit Bond;4Shapeshift;Uterra|Tempys;41;2/6;5/5;5/7;13;7;0;8;2;0;0;0;0;0;2;0;2;0;0;14;1;0;0;0;0;0;0;0;0;7;0;0;0;1;2;-1;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Glorious Stressing Scouts;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;62;1/3;2/3;2/3;12;8;0;0;1;0;0;0;4;0;0;0;3;0;0;16;0;0;9;0;0;0;0;0;0;16;0;0;0;9;2;-2;0;0;0;0;-2;0
The Corps of the Prismatic Riddle;The Angry Wedding Bizarre Archers;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;50;2/6;5/5;5/7;13;7;0;8;2;0;0;0;0;0;3;0;3;0;0;14;1;0;0;0;0;0;0;0;0;14;0;0;0;1;2;-1;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Wise Infinity Brewers;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;50;1/4;3/5;3/5;13;7;0;0;1;0;0;0;0;0;0;0;3;0;0;14;0;0;0;0;0;0;0;2;0;14;0;0;1;9;4;1;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Simian Raid Guides;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;78;2/5;3/5;3/7;12;8;0;5;2;0;0;1;0;0;6;0;3;0;0;24;4;0;0;0;0;0;0;0;0;24;0;0;0;2;2;-1;0;0;3;0;1;0
The Wise Infinity Brewers;The Corps of the Prismatic Riddle;Steel Rosetta;2Repurpose;3Enhance;4Stim Bolt;Alloyin|Tempys;62;1/4;3/5;3/5;13;7;0;0;1;0;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;0;0;4;0;14;0;0;2;12;4;1;5;2;0;0;-1;0
The Corps of the Prismatic Riddle;The Harming Mad Glutton Scientists;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;50;1/2;2/2;3/2;13;7;2;0;1;0;0;2;0;2;0;0;3;0;0;14;0;0;0;0;0;0;0;0;0;14;0;0;0;0;8;3;0;0;0;0;-1;0
The Simian Raid Guides;The Corps of the Prismatic Riddle;Oros;2Growth Aura;3Darkforge Drain;4Barkskin;Uterra|Tempys;69;2/5;3/5;3/7;12;8;0;5;2;0;0;1;0;0;4;0;2;0;0;24;6;0;0;0;0;0;0;0;0;16;0;0;0;2;2;-1;0;0;3;0;1;0
The Corps of the Prismatic Riddle;The Adored Droning Coopers;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Alloyin;48;2/4;2/5;3/5;13;7;0;0;1;5;0;0;0;0;0;0;3;0;0;14;0;0;0;0;0;0;0;1;0;14;0;0;1;3;4;1;0;0;0;0;-1;0
The Adored Droning Coopers;The Corps of the Prismatic Riddle;Steel Rosetta;2Repurpose;3Tinker;4Stim Bolt;Alloyin|Tempys;60;2/4;2/5;3/5;13;7;0;0;1;5;0;0;0;0;0;0;2;0;0;14;0;0;0;0;0;0;0;1;0;14;0;0;1;9;4;1;5;2;0;0;-1;0
The Harming Mad Glutton Scientists;The Corps of the Prismatic Riddle;Cercee;2Life Drain;3Deathtouch;4Army Commander;Nekrium|Tempys;36;1/2;2/2;3/2;13;7;2;0;1;0;0;2;0;2;0;0;2;0;0;7;0;0;0;0;-1;0;0;0;0;7;0;0;0;0;8;3;0;0;0;0;-1;0
The Order of Winter and Crushing;The Corps of the Prismatic Riddle;Oros;2Shapeshift;3Barkskin;4Darkforge Drain;Uterra|Tempys;44;1/5;2/3;3/7;13;7;0;0;2;0;0;0;3;0;4;0;2;0;0;14;4;0;0;0;0;2;0;0;0;7;0;0;0;0;4;-1;0;0;0;0;1;0
The Club Farmers;The Corps of the Prismatic Riddle;Oros;2Growth Aura;3Darkforge Drain;4Shapeshift;Uterra|Tempys;43;2/4;3/3;4/5;13;7;0;0;2;0;0;0;3;0;2;0;2;0;0;14;3;0;0;3;0;0;0;0;0;7;0;0;0;1;4;-1;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Order of Winter and Crushing;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;53;1/5;2/3;3/7;13;7;0;0;2;0;0;0;3;0;5;0;3;0;0;14;4;0;0;0;0;2;0;0;0;14;0;0;0;0;4;-1;0;0;0;0;1;0
The Corps of the Prismatic Riddle;The Randomness Army;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Nekrium;69;2/3;3/3;4/4;13;7;0;0;1;0;1;0;0;9;0;0;3;0;0;14;0;0;0;0;0;0;0;4;0;14;0;0;0;0;8;6;5;3;0;0;-1;0
The Randomness Army;The Corps of the Prismatic Riddle;Cercee;2Life Drain;3Army Commander;4Soul Syphon;Nekrium|Tempys;59;2/3;3/3;4/4;13;7;0;0;1;0;1;0;0;9;0;0;2;0;0;7;0;0;0;0;0;0;0;6;0;7;0;0;0;0;8;9;5;3;0;0;-1;0
The Corps of the Prismatic Riddle;The Club Farmers;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;51;2/4;3/3;4/5;13;7;0;0;2;0;0;0;3;0;3;0;3;0;0;14;2;0;0;3;0;0;0;0;0;14;0;0;0;1;4;-1;0;0;0;0;-1;0
The Corps of the Prismatic Riddle;The Queens of Emptying Winter;Sunder;2Summon the Swarm;3Gale Surge;4Stim Bolt;Tempys|Uterra;43;1/5;3/5;3/5;13;7;0;0;1;0;0;0;2;0;0;0;3;0;0;14;0;0;0;0;0;0;0;0;0;14;0;0;0;3;4;-2;0;0;0;0;-1;0
