deckname;value;avglbl;range1;range2;range3;BEAST;DINOSAUR;MAGE;ROBOT;SCIENTIST;SPIRIT;WARRIOR;ZOMBIE;MINION;DRAGON;ELEMENTAL;PLANT;SPELL;HEALING;MOVEMENT;ARMOR;ACTIVATION;FREE;FREE HEALING;FREE DESTROY;FREE UPGRADE;FREE SELFDMG;FREE SPELL;FREE REPLACE;FREE MAGE;UPGRADE;REPLACE;DAMAGE;SELFDAMAGE;DESTROY SYN;DESTROY MIN;REDEPLOY;REACTIVATE;STEALTH;AGGRO;FORGEBORN;DESTROY OPP;FACEBURN;LIFE GAIN;DISRUPTION;SILENCE
The Mutant Constructing Gang|The Monks of the Great Quitting Fire;0.0090;45.0000;ROBOT;MAGE;MAGE;0;0;6.0;1.0;0;0;0;0;3.0;0;0;0;0;0;2.0;0;0;0;0;0;1.0;0;0;0;0;1.0;2.0;0;0;0;0;3.0;5.0;0;5.0;0;0;0;0;0;0
The Mutant Constructing Gang|The Mice of the Fierce Fur;0.0014;36.0000;ROBOT;MAGE;;0;0;0;1.0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;2.0;2.0;0;0;0;3.0;5.0;4.0;0;0;0;0;0;0;0;0
The Mutant Constructing Gang|The Senseis who became Champs;0.0221;60.0000;ROBOT;MAGE;;0;0;5.0;1.0;0;0;0;0;2.0;0;0;0;9.0;0;0;0;0;0;0;0;1.0;0;0;0;3.0;1.0;2.0;0;0;0;0;3.0;5.0;0;2.0;0;0;0;0;0;0
The Mutant Constructing Gang|The Crossing Soul Hags;0.0109;55.0000;ROBOT;MAGE;SPIRIT, ZOMBIE;0;0;0;2.0;0;0;0;0;2.0;0;0;0;0;0;1.0;0;0;0;0;0;7.0;0;0;0;0;3.0;2.0;0;0;0;2.0;4.0;4.0;0;2.0;0;0;0;0;0;0
The Mutant Constructing Gang|The Group of Brass Conspiracies;0.0052;52.0000;ROBOT;MAGE;ZOMBIE;0;0;0;1.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;1.0;0;0;0;0;1.0;2.0;0;0;0;4.0;2.0;5.0;0;3.0;0;0;0;0;0;0
The Mutant Constructing Gang|The Fleeing Feasting Brother Flock;0.0061;49.0000;ROBOT;MAGE;;0;0;1.0;1.0;0;0;0;0;2.0;0;0;0;3.0;0;0;0;0;0;0;0;1.0;0;3.0;0;0;1.0;3.0;0;0;0;0;5.0;3.0;0;0;0;0;0;0;0;0
The Mutant Constructing Gang|The Squadron of the Fire;0.0313;61.0000;ROBOT;MAGE;MAGE;0;0;4.0;1.0;0;0;0;0;1.0;0;0;0;0;0;3.0;0;3.0;0;0;0;1.0;0;0;0;0;1.0;2.0;0;0;0;0;3.0;5.0;0;3.0;0;0;0;0;0;0
The Mutant Constructing Gang|The Imps of Descending Chiron;0.0061;44.0000;ROBOT;MAGE;ZOMBIE;0;0;0;2.0;0;0;0;0;5.0;0;0;0;0;0;1.0;0;0;0;0;0;4.0;0;0;0;0;2.0;2.0;0;0;0;2.0;3.0;5.0;0;1.0;0;0;0;0;0;0
The Mutant Constructing Gang|Outfit of Camping and Waving;0.0041;41.0000;ROBOT;MAGE;;0;0;1.0;2.0;0;0;0;0;2.0;0;0;0;0;0;0;0;3.0;0;0;0;1.0;0;0;0;0;1.0;3.0;0;0;0;0;5.0;5.0;0;0;3.0;0;0;0;0;0
The Wiry Antique Governors|Day's Locksmiths;0.0162;78.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;3.0;0;0;3.0;3.0;0;0;0;0;1.0;0;0;0;7.0;25.0;0;0;0;8.0;0;0;0;0;0;0
The Wiry Antique Governors|The Heralds of Silk Collection;0.0319;70.0000;ZOMBIE;ZOMBIE;SPELL;0;0;0;0;0;0;0;2.0;0;0;0;0;8.0;0;0;0;0;0;0;2.0;0;0;4.0;0;0;0;0;0;2.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Causing Titanic Venom Wildlings;0.0222;48.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;2.0;1.0;0;0;0;0;0;0;0;0;2.0;15.0;0;0;2.0;0;0;0;0;0;0;0
The Wiry Antique Governors|Impulse's Shadowflame Squad;0.0413;52.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;2.0;0;0;0;2.0;0;0;0;0;2.0;2.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Mutant Constructing Gang;0.0058;52.0000;ZOMBIE;ZOMBIE;ROBOT, MAGE;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;1.0;0;0;0;2.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Scavenger Rabid Daggers;0.0047;38.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;5.0;0;0;0;0;3.0;0;0;0;0;0
The Wiry Antique Governors|The People of Bearing;0.0412;95.0000;ZOMBIE;ZOMBIE;ROBOT;0;0;0;0;1.0;0;0;2.0;2.0;0;0;0;2.0;0;0;0;0;0;0;2.0;5.0;0;0;2.0;0;1.0;0;0;0;2.0;20.0;0;0;0;6.0;0;0;0;0;0;0
The Wiry Antique Governors|The Mixing Figment Collectors;0.0204;56.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;4.0;0;0;0;0;4.0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;4.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Venom's Fifth Swarm;0.0273;56.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;17.0;0;0;4.0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Sentrys of Failure Faith;0.0324;58.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;2.0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;3.0;2.0;0;0;0;0;0;0;0;0;7.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Omnivore Brutish Herders;0.0070;60.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;27.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Former Hoping Valkyrie Trustees;0.0196;46.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;2.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Simple Lords;0.0109;51.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;0;0;0;4.0;2.0;0;0;0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;15.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Fire Breathers of the Heartseeker;0.0379;59.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;4.0;0;0;0;0;2.0;0;0;0;0;0;0;3.0;0;0;2.0;0;0;0;0;0;4.0;7.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Army of Alpha and Curing;0.0164;65.0000;ZOMBIE;ZOMBIE;BEAST;4.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;17.0;0;0;0;2.0;3.0;0;0;0;0;0
The Wiry Antique Governors|The Mothers of the Plutonium Echo;0.0060;56.0000;ZOMBIE;ZOMBIE;ROBOT, ARMOR, WARRIOR;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;1.0;0;0;0;2.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Aunts of Bleeding Brightsteel;0.0268;77.0000;ZOMBIE;ZOMBIE;;0;0;0;0;2.0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;0;0;0;0;0;0;0;9.0;22.0;0;0;0;6.0;0;0;0;0;0;0
The Wiry Antique Governors|The Fortelling Aggravating Ticklers;0.0248;49.0000;ZOMBIE;ZOMBIE;SPELL;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;2.0;0;0;0;2.0;0;0;0;0;0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Vindicators of Sobbing and Baking;0.0078;43.0000;ZOMBIE;ZOMBIE;DINOSAUR;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;4.0;2.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Brigade of Druid and Weird;0.0053;49.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;1.0;0;0;0;0;0;0;0;0;4.0;12.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Sparky's Attentive Combatants;0.0142;46.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;2.0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;3.0;0;0;0;0;0;0;0;0;2.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Serious Silver Soldiers;0.0031;38.0000;ZOMBIE;ZOMBIE;ARMOR;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;1.0;0;0;0;2.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Sorcerers of the Oratek Eruptor;0.0738;69.0000;ZOMBIE;ZOMBIE;SPELL;0;0;0;0;0;0;0;4.0;0;0;0;0;6.0;0;0;0;0;0;0;2.0;0;0;2.0;0;0;0;0;0;2.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Farmers of the Spiky Tunnels;0.0169;58.0000;ZOMBIE;ZOMBIE;BEAST;4.0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;20.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Masters of Swearing;0.0241;56.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;2.0;2.0;15.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Quantums of Metal and Faith;0.0208;72.0000;ZOMBIE;ZOMBIE;;0;0;0;0;1.0;0;0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;3.0;1.0;0;0;2.0;0;1.0;0;0;0;7.0;15.0;0;0;0;4.0;0;0;0;0;0;0
The Wiry Antique Governors|The Phalanx of Everflow Treefolk;0.0092;56.0000;ZOMBIE;ZOMBIE;WARRIOR;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;20.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Champions of the Whisker;0.0245;79.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;4.0;2.0;0;0;0;0;0;0;0;0;2.0;0;2.0;1.0;0;0;0;0;0;0;0;0;4.0;32.0;0;0;0;0;3.0;0;0;0;0;0
The Wiry Antique Governors|The Overseers of Sparky;0.0058;61.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;3.0;2.0;0;0;0;0;0;0;0;0;9.0;17.0;0;0;0;4.0;0;0;0;0;0;0
The Wiry Antique Governors|Doctors of Tatoo and Comparing;0.0361;62.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;2.0;0;0;0;0;6.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;4.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Hermit Spiders;0.0202;66.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;2.0;0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;2.0;0;0;0;0;0;0;0;0;0;4.0;17.0;0;0;2.0;2.0;3.0;0;0;0;0;0
The Wiry Antique Governors|The Host of the Confident Miracles;0.0209;47.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;4.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Pondering Iron Advisers;0.0112;76.0000;ZOMBIE;ZOMBIE;ROBOT;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;3.0;3.0;0;0;0;0;1.0;0;0;0;9.0;17.0;0;0;0;4.0;0;0;0;0;0;0
The Wiry Antique Governors|The Company of Botany;0.0113;63.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;2.0;0;2.0;1.0;0;0;0;0;0;0;0;0;4.0;22.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Raiders of Leading Capitals;0.0309;72.0000;ZOMBIE;ZOMBIE;ROBOT;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;2.0;4.0;0;0;0;0;1.0;0;0;0;2.0;20.0;0;0;0;6.0;0;0;0;0;0;0
The Wiry Antique Governors|The Monks of the Great Quitting Fire;0.0351;40.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;4.0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;2.0;2.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Mice of the Fierce Fur;0.0093;41.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;0;0;0;2.0;1.0;0;0;0;0;0;0;0;0;2.0;10.0;0;0;2.0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Senseis who became Champs;0.0559;59.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;6.0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;4.0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Protectors of the Saving Herbs;0.0168;55.0000;ZOMBIE;ZOMBIE;ROBOT;0;0;0;0;1.0;0;0;4.0;2.0;0;0;0;0;0;0;0;0;0;0;2.0;2.0;0;0;0;0;0;0;0;0;2.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Professing Watchdogs;0.0091;58.0000;ZOMBIE;ZOMBIE;ROBOT;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;2.0;5.0;0;0;0;0;1.0;0;0;0;2.0;10.0;0;0;0;2.0;0;0;0;0;0;0
The Wiry Antique Governors|The Fleeing Feasting Brother Flock;0.0083;52.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;2.0;0;0;0;0;0;0;2.0;0;0;2.0;0;0;0;0;0;0;2.0;10.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|The Squadron of the Fire;0.0123;71.0000;ZOMBIE;ZOMBIE;MAGE;0;0;0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;3.0;0;0;3.0;0;0;0;0;0;0;0;0;8.0;7.0;5.0;0;0;0;0;0;0;0;0;0;0
The Wiry Antique Governors|Outfit of Camping and Waving;0.0103;48.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;2.0;0;0;0;0;0;0;0;0;3.0;2.0;0;2.0;0;0;0;0;0;0;0;0;0;2.0;10.0;0;0;2.0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Day's Locksmiths;0.0055;27.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;7.0;2.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Heralds of Silk Collection;0.0070;57.0000;SPELL;;;0;0;0;0;0;0;0;0;0;0;0;0;18.0;2.0;0;0;0;0;0;0;0;0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Wrongdoing's Suspending Workers;0.0092;39.0000;BEAST;;;1.0;0;0;0;0;1.0;0;0;0;0;0;0;5.0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Impulse's Shadowflame Squad;0.0088;45.0000;MAGE;;;0;3.0;0;0;0;0;2.0;0;0;0;0;0;14.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Mutant Constructing Gang;0.0000;28.0000;ROBOT;MAGE;;0;0;0;0;0;0;0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Wiry Antique Governors;0.0045;34.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;0;0;0;0;0;0;0;5.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The People of Bearing;0.0068;52.0000;ROBOT;;;0;0;0;0;0;0;0;0;0;0;0;0;9.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Creeping Hell Protectors;0.0124;38.0000;ZOMBIE;;;0;0;0;0;0;0;0;0;0;0;0;0;5.0;8.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Mixing Figment Collectors;0.0055;36.0000;;;;0;3.0;0;0;0;0;0;0;0;0;0;0;12.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Tentacles of the Diseased Bone;0.0691;57.0000;MINION;;;0;0;0;0;0;0;0;0;0;0;0;0;9.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Sentrys of Failure Faith;0.0051;29.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Former Hoping Valkyrie Trustees;0.0000;29.0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;12.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Fire Breathers of the Heartseeker;0.0000;37.0000;MAGE;;;0;0;0;0;0;0;0;0;0;0;0;0;9.0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Mothers of the Plutonium Echo;0.0047;35.0000;ROBOT;ARMOR;WARRIOR;0;0;0;0;0;0;4.0;0;0;0;0;0;5.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Hurting Demons Larvae;0.0133;59.0000;;;;0;0;0;0;0;1.0;0;0;0;0;0;0;12.0;10.0;0;0;0;0;4.0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Aunts of Bleeding Brightsteel;0.0020;31.0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Liches of Rebirth and Duskmaw;0.0121;48.0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;9.0;8.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Fortelling Aggravating Ticklers;0.0104;40.0000;SPELL;;;0;3.0;0;0;0;0;0;0;0;0;0;0;13.0;2.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Opening Sisters Liches;0.0199;54.0000;ZOMBIE;;;0;0;0;0;0;1.0;0;0;0;0;0;0;12.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Vindicators of Sobbing and Baking;0.0063;35.0000;DINOSAUR;;;0;3.0;0;0;0;0;0;0;0;0;0;0;7.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Sparky's Attentive Combatants;0.0000;24.0000;WARRIOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Raiders of Hound and Mask;0.0243;45.0000;ZOMBIE;ZOMBIE;;0;0;0;0;0;1.0;0;0;0;0;0;0;10.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Serious Silver Soldiers;0.0004;26.0000;ARMOR;;;0;0;0;0;0;0;2.0;0;0;0;0;0;7.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Sorcerers of the Oratek Eruptor;0.0145;56.0000;SPELL;;;0;0;0;0;0;0;2.0;0;0;0;0;0;17.0;2.0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Sixth Barb Band;0.0264;45.0000;ZOMBIE;ZOMBIE;;1.0;0;0;0;0;0;0;0;0;0;0;0;7.0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Masters of Swearing;0.0057;37.0000;MAGE;;;0;3.0;0;0;0;0;0;0;0;0;0;0;12.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Quantums of Metal and Faith;0.0004;37.0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;12.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Overseers of Sparky;0.0000;25.0000;;;;0;0;0;0;0;0;2.0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|Doctors of Tatoo and Comparing;0.0000;44.0000;MAGE;;;0;0;0;0;0;0;0;0;0;0;0;0;15.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Savants of the Ending Predator;0.0205;39.0000;ZOMBIE;MINION;;0;0;0;0;0;0;0;0;0;0;0;0;9.0;6.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;1.0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Host of the Confident Miracles;0.0042;29.0000;;;;0;0;0;0;0;0;2.0;0;0;0;0;0;9.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The King Varna Generals;0.0011;29.0000;;;;0;0;0;0;0;1.0;0;0;0;0;0;0;6.0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Pondering Iron Advisers;0.0039;38.0000;ROBOT;;;0;0;0;0;0;0;2.0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Raiders of Leading Capitals;0.0235;34.0000;ROBOT;;;0;0;0;0;0;0;0;0;0;0;0;0;8.0;2.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Monks of the Great Quitting Fire;0.0000;20.0000;MAGE;;;0;0;0;0;0;0;0;0;0;0;0;0;4.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Senseis who became Champs;0.0088;41.0000;;;;0;0;0;0;0;0;0;0;0;0;0;0;15.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Protectors of the Saving Herbs;0.0022;29.0000;ROBOT;;;0;0;0;0;0;0;0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Crossing Soul Hags;0.0051;33.0000;SPIRIT;ZOMBIE;;0;0;0;0;0;1.0;0;0;0;0;0;0;6.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Professing Watchdogs;0.0044;30.0000;ROBOT;;;0;0;0;0;0;0;0;0;0;0;0;0;5.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Group of Brass Conspiracies;0.0134;47.0000;ZOMBIE;;;0;0;0;0;0;1.0;0;0;0;0;0;0;7.0;8.0;0;0;0;0;4.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Squadron of the Fire;0.0053;40.0000;MAGE;;;0;0;0;0;0;0;0;0;0;0;0;0;5.0;2.0;0;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
The Scavenger Rabid Daggers|The Imps of Descending Chiron;0.0000;29.0000;ZOMBIE;;;0;0;0;0;0;0;0;0;0;0;0;0;4.0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0;0;0;0;0;0
